Hz,Power (5Hz),Power (12Hz)
3,2314478029,909928406.8
3.2,1861827871,840121109.8
3.4,1712296347,789196154.1
3.6,2401593170,748212851.6
3.8,4907851355,709548928.2
4,10384269289,668779718.2
4.2,19490311395,624084713.5
4.4,31608834046,575186440
4.6,44497538034,524010126.3
4.8,54808633719,475675984
5,59397617830,436887437
5.2,56763936940,411964070.9
5.4,47778701700,400368050.6
5.6,35250822415,398321852.2
5.8,22602550734,402295087.8
6,12447586356,410098339.3
6.2,5829244854,418893527.8
6.4,2362356495,423861512.8
6.6,951833537.5,420447457.1
6.8,529420054.5,407956345.6
7,431088014.5,389839237.5
7.2,390915623.7,369978747.2
7.4,357609296.9,349565339.1
7.6,336964366.2,328417017.2
7.8,329624893.6,308453259.7
8,328559094.7,293844842.9
8.2,330266947.9,286915821.9
8.4,350657903.6,285144983.1
8.6,450436360.1,283524727.8
8.8,752275694.3,279134985.4
9,1413625514,271838069.3
9.2,2540716237,261431176.9
9.4,4080986319,247451970.8
9.6,5767790028,232135470.3
9.8,7175963459,218413823.9
10,7882629949,205697127.6
10.2,7655907542,216783029.3
10.4,6565809672,397002100.9
10.6,4951036529,1164326879
10.8,3260471878,3278222099
11,1862242225,7646459180
11.2,924814948.6,14813410303
11.4,418087683.6,24343021412
11.6,202981678,34523007667
11.8,134393984.2,42743512026
12,118431341.9,46510086553
12.2,114724424.1,44588175151
12.4,112275703.8,37608014802
12.6,109156703.5,27754699835
12.8,105453455,17736352885
13,102468920.1,9651077384
13.2,101425672.8,4362065218
13.4,102578321.5,1590081718
13.6,107549933.4,474857784.5
13.8,122760960.9,162940381.7
14,158663630.4,115896636.8
14.2,223195082.5,112637562.1
14.4,313995371.8,106530578.2
14.6,415512871.5,100180047.3
14.8,503225216.4,95783463.14
15,552581428.4,92781047.36
